date,mean_polarity
12-01-2018,0.098849
13-01-2018,0.022982
14-01-2018,0.305598
15-01-2018,0.158661
16-01-2018,0.118016
17-01-2018,-0.051921
18-01-2018,0.083444
19-01-2018,-0.354558
20-01-2018,0.035593
21-01-2018,-0.034963
22-01-2018,0.294367
23-01-2018,0.263117
24-01-2018,0.11552
25-01-2018,0.249519
26-01-2018,0.157129
27-01-2018,0.365568
28-01-2018,0.203349
29-01-2018,0.154997
30-01-2018,-0.041669
31-01-2018,-0.272972
01-02-2018,0.358893
02-02-2018,-0.016127
03-02-2018,0.072018
04-02-2018,0.056254
05-02-2018,-0.419531
06-02-2018,-0.536483
07-02-2018,-0.061331
08-02-2018,-0.379732
09-02-2018,-0.263764
10-02-2018,0.03812
11-02-2018,0.015294
12-02-2018,0.061869
13-02-2018,-0.052336
14-02-2018,-0.107021
15-02-2018,0.149402
16-02-2018,0.341625
17-02-2018,-0.415178
18-02-2018,0.192994
19-02-2018,0.285552
20-02-2018,-0.076946
21-02-2018,-0.058402
22-02-2018,-0.128583
23-02-2018,0.230417
24-02-2018,0.188853
25-02-2018,0.166952
26-02-2018,0.113852
27-02-2018,-0.003095
28-02-2018,-0.400469
01-03-2018,-0.215242
02-03-2018,-0.281603
03-03-2018,0.160758
04-03-2018,0.211654
05-03-2018,0.11523
06-03-2018,0.254375
07-03-2018,-0.105478
08-03-2018,-0.091039
09-03-2018,0.190003
10-03-2018,0.290278
11-03-2018,0.048739
12-03-2018,-0.291357
13-03-2018,-0.376326
14-03-2018,-0.192545
15-03-2018,0.013779
16-03-2018,0.09781
17-03-2018,0.204657
18-03-2018,0.318943
19-03-2018,-0.256503
20-03-2018,0.170069
21-03-2018,0.375046
22-03-2018,-0.234879
23-03-2018,0.344441
24-03-2018,0.202061
25-03-2018,0.267396
26-03-2018,0.080833
27-03-2018,0.223116
28-03-2018,-0.382377
29-03-2018,0.159675
30-03-2018,0.372702
31-03-2018,0.332389
01-04-2018,0.093297
02-04-2018,-0.126935
03-04-2018,-0.012523
04-04-2018,-0.004591
05-04-2018,0.011741
06-04-2018,-0.180544
07-04-2018,0.094399
08-04-2018,0.223904
09-04-2018,0.13422
10-04-2018,0.556566
11-04-2018,0.451564
12-04-2018,0.254007
13-04-2018,0.328192
14-04-2018,0.378587
15-04-2018,0.315045
16-04-2018,0.070015
17-04-2018,0.232052
18-04-2018,0.289416
19-04-2018,0.376005
20-04-2018,0.064077
21-04-2018,0.152633
22-04-2018,0.35154
23-04-2018,0.075248
24-04-2018,0.288313
25-04-2018,0.124368
26-04-2018,0.444619
27-04-2018,0.093069
28-04-2018,0.206917
29-04-2018,0.11503
30-04-2018,0.030571
01-05-2018,0.115097
02-05-2018,-0.002598
03-05-2018,-0.03819
04-05-2018,0.408832
05-05-2018,0.283467
06-05-2018,0.273994
07-05-2018,0.769571
08-05-2018,0.771559
09-05-2018,0.418851
10-05-2018,0.371672
11-05-2018,0.223308
12-05-2018,0.168761
13-05-2018,0.096375
14-05-2018,0.121192
15-05-2018,0.343909
16-05-2018,-0.033207
17-05-2018,0.442355
18-05-2018,0.321381
19-05-2018,0.056311
20-05-2018,0.323682
21-05-2018,0.437427
22-05-2018,0.36846
23-05-2018,-0.085125
24-05-2018,-0.361
25-05-2018,-0.405145
26-05-2018,-0.132895
27-05-2018,0.047158
28-05-2018,-0.626572
29-05-2018,-0.31902
30-05-2018,-0.046845
31-05-2018,-0.077224
01-06-2018,-0.173915
02-06-2018,-0.01353
03-06-2018,0.081718
04-06-2018,-0.244232
05-06-2018,-0.327547
06-06-2018,-0.040471
07-06-2018,0.19778
08-06-2018,-0.2048
09-06-2018,-0.034244
10-06-2018,0.112406
11-06-2018,-0.470625
12-06-2018,-0.036934
13-06-2018,-0.352916
14-06-2018,-0.025254
15-06-2018,-0.329777
16-06-2018,-0.116012
17-06-2018,-0.084217
18-06-2018,-0.290192
19-06-2018,-0.357925
20-06-2018,0.105034
21-06-2018,-0.50395
22-06-2018,0.019419
23-06-2018,-0.260596
24-06-2018,-0.214655
25-06-2018,-0.288821
26-06-2018,0.039412
27-06-2018,0
28-06-2018,-0.035659
29-06-2018,-0.02106
30-06-2018,0
01-07-2018,-0.500718
02-07-2018,-0.291926
03-07-2018,0.091631
04-07-2018,0.018699
05-07-2018,-0.23602
06-07-2018,-0.191182
07-07-2018,-0.000947
08-07-2018,0.183284
09-07-2018,0.362048
10-07-2018,0.375674
11-07-2018,-0.341543
12-07-2018,-0.027257
13-07-2018,-0.2239
14-07-2018,0.209156
15-07-2018,0.048014
16-07-2018,-0.47345
17-07-2018,-0.260876
18-07-2018,-0.13074
19-07-2018,-0.101912
20-07-2018,-0.250397
21-07-2018,-0.005973
22-07-2018,0.048577
23-07-2018,0.041462
24-07-2018,0.088826
25-07-2018,0.121123
26-07-2018,0.493583
27-07-2018,-0.027055
28-07-2018,0.220584
29-07-2018,0.256747
30-07-2018,0.168413
31-07-2018,-0.140898
01-08-2018,-0.52364
02-08-2018,-0.124619
03-08-2018,-0.18563
04-08-2018,-0.274653
05-08-2018,0.060098
06-08-2018,0.140439
07-08-2018,0.522162
08-08-2018,0.159156
09-08-2018,-0.00224
10-08-2018,-0.282565
11-08-2018,0.203658
12-08-2018,0.091244
13-08-2018,-0.254792
14-08-2018,0.037477
15-08-2018,-0.286142
16-08-2018,0.059563
17-08-2018,-0.066271
18-08-2018,0.116077
19-08-2018,0.097352
20-08-2018,-0.196118
21-08-2018,0.119678
22-08-2018,0.050479
23-08-2018,-0.011409
24-08-2018,0.371532
25-08-2018,0.38496
26-08-2018,0.08077
27-08-2018,0.129633
28-08-2018,0.233676
29-08-2018,0.031659
30-08-2018,-0.087007
31-08-2018,-0.18999
01-09-2018,0.005414
02-09-2018,0.079495
03-09-2018,0.046736
04-09-2018,0.243107
05-09-2018,-0.295834
06-09-2018,-0.169937
07-09-2018,-0.376467
08-09-2018,0.125057
09-09-2018,0.114017
10-09-2018,0.258567
11-09-2018,0.32619
12-09-2018,0.145436
13-09-2018,-0.059227
14-09-2018,0.237636
15-09-2018,0.139362
16-09-2018,0.307901
17-09-2018,0.164453
18-09-2018,0.127841
19-09-2018,0.164506
20-09-2018,-0.115808
21-09-2018,-0.031849
22-09-2018,-0.031863
23-09-2018,-0.47066
24-09-2018,0.460306
25-09-2018,0.354236
26-09-2018,0.051109
27-09-2018,0.215024
28-09-2018,0.272329
29-09-2018,0.175616
30-09-2018,0.27651
01-10-2018,0.330077
02-10-2018,0.354322
03-10-2018,0.190705
04-10-2018,0.035887
05-10-2018,0.192986
06-10-2018,0.106059
07-10-2018,0.178148
08-10-2018,-0.209108
09-10-2018,0.036451
10-10-2018,-0.22314
11-10-2018,-0.307334
12-10-2018,-0.03172
13-10-2018,0.066199
14-10-2018,0.073713
15-10-2018,0.191089
16-10-2018,-0.138173
17-10-2018,-0.101227
18-10-2018,-0.18319
19-10-2018,-0.091814
20-10-2018,-0.004205
21-10-2018,0.064184
22-10-2018,0.0648
23-10-2018,-0.207752
24-10-2018,-0.192051
25-10-2018,-0.295017
26-10-2018,-0.374541
27-10-2018,0.021092
28-10-2018,-0.093742
29-10-2018,-0.38236
30-10-2018,-0.331188
31-10-2018,-0.089152
01-11-2018,-0.092599
02-11-2018,-0.223245
03-11-2018,0.027977
04-11-2018,0.062373
05-11-2018,-0.278627
06-11-2018,-0.374118
07-11-2018,-0.199808
08-11-2018,-0.068627
09-11-2018,-0.68432
10-11-2018,-0.227136
11-11-2018,0.040058
12-11-2018,0
13-11-2018,0
14-11-2018,-0.26603
15-11-2018,-0.231011
16-11-2018,-0.064364
17-11-2018,-0.139541
18-11-2018,-0.009686
19-11-2018,0.02187
20-11-2018,-0.349854
21-11-2018,-0.021388
22-11-2018,-0.268356
23-11-2018,-0.633834
24-11-2018,-0.239834
25-11-2018,0
26-11-2018,0.106133
27-11-2018,-0.060738
28-11-2018,-0.09015
29-11-2018,-0.160674
30-11-2018,-0.199297
01-12-2018,-0.149447
02-12-2018,0.083094
03-12-2018,0.260442
04-12-2018,0.10727
05-12-2018,-0.123732
06-12-2018,-0.347385
07-12-2018,0.292338
08-12-2018,0.417683
09-12-2018,0.124874
10-12-2018,-0.083573
11-12-2018,0.040785
12-12-2018,0.148505
13-12-2018,0.197478
14-12-2018,-0.125978
15-12-2018,-0.012269
16-12-2018,0.137838
17-12-2018,-0.060673
18-12-2018,-0.740044
19-12-2018,-0.16031
20-12-2018,-0.378106
21-12-2018,-0.246616
22-12-2018,0.127551
23-12-2018,0.036578
24-12-2018,-0.313177
25-12-2018,-0.107621
26-12-2018,0.09551
27-12-2018,-0.180748
28-12-2018,-0.084726
29-12-2018,-0.036429
30-12-2018,0.062034
31-12-2018,-0.033139
01-01-2019,-0.201767
02-01-2019,-0.111857
03-01-2019,0.051481
04-01-2019,0.110134
05-01-2019,0.230292
06-01-2019,0.297645
07-01-2019,0.371332
08-01-2019,0.177003
09-01-2019,0.57239
10-01-2019,0.025896
11-01-2019,0.008527
12-01-2019,0.056164
13-01-2019,0.181314
14-01-2019,-0.14
15-01-2019,0.119453
16-01-2019,-0.120351
17-01-2019,-0.198181
18-01-2019,0.18392
19-01-2019,0.360168
20-01-2019,0.318128
21-01-2019,-0.003
22-01-2019,-0.288712
23-01-2019,-0.026691
24-01-2019,0.018489
25-01-2019,0.246989
26-01-2019,0.386889
27-01-2019,0.113775
28-01-2019,-0.190603
29-01-2019,0.292106
30-01-2019,0.249263
31-01-2019,0.124645
01-02-2019,0.07534
02-02-2019,0.209851
03-02-2019,0.191626
04-02-2019,0.108087
05-02-2019,0.048226
06-02-2019,-0.021897
07-02-2019,-0.149993
08-02-2019,-0.240712
09-02-2019,0.323711
10-02-2019,-0.054247
11-02-2019,-0.338585
12-02-2019,0.192014
13-02-2019,0.123409
14-02-2019,0.321646
15-02-2019,0.368671
16-02-2019,0.283518
17-02-2019,0.190472
18-02-2019,0.289409
19-02-2019,0.054007
20-02-2019,0.046556
21-02-2019,0.113576
22-02-2019,0.009946
23-02-2019,0.152251
24-02-2019,0.115902
25-02-2019,-0.183405
26-02-2019,-0.036016
27-02-2019,0.310433
28-02-2019,-0.095426
01-03-2019,0.019071
02-03-2019,0.160869
03-03-2019,0.230207
04-03-2019,0.373337
05-03-2019,-0.066986
06-03-2019,-0.36382
07-03-2019,0.121021
08-03-2019,-0.35515
09-03-2019,0.085197
10-03-2019,0.039611
11-03-2019,0.126483
12-03-2019,0.24672
13-03-2019,0.13353
14-03-2019,0.18545
15-03-2019,0.001202
16-03-2019,0.088791
17-03-2019,0.011227
18-03-2019,-0.176934
19-03-2019,0.206616
20-03-2019,-0.000087
21-03-2019,-0.013853
22-03-2019,-0.183743
23-03-2019,0.06961
24-03-2019,0.241658
25-03-2019,-0.249481
26-03-2019,0.254646
27-03-2019,-0.242951
28-03-2019,-0.535791
29-03-2019,0.197911
30-03-2019,0.187909
31-03-2019,0.085647
01-04-2019,0.309745
02-04-2019,0.276367
03-04-2019,0.230132
04-04-2019,-0.017591
05-04-2019,0.007202
06-04-2019,0.320306
07-04-2019,0.274252
08-04-2019,0.322567
09-04-2019,0.169674
10-04-2019,0.417316
11-04-2019,0
12-04-2019,0.259752
13-04-2019,0.227389
14-04-2019,0.154106
15-04-2019,-0.159796
16-04-2019,0.026392
17-04-2019,0.12659
18-04-2019,-0.23404
19-04-2019,0.060172
20-04-2019,0.133648
21-04-2019,0.238749
22-04-2019,0.549206
23-04-2019,0.51012
24-04-2019,-0.193807
25-04-2019,-0.055225
26-04-2019,-0.348406
27-04-2019,-0.034341
28-04-2019,0.056954
29-04-2019,-0.236232
30-04-2019,0.036207
01-05-2019,-0.188839
02-05-2019,-0.199303
03-05-2019,-0.20895
04-05-2019,0.183386
05-05-2019,0.187723
06-05-2019,-0.054705
07-05-2019,-0.38232
