Date,Return,sentiment_t_minus_1
06-01-2021,0.012975159,0.063663
07-01-2021,0.001472212,0.347176
08-01-2021,0.029176664,0.342702
11-01-2021,-0.005911347,0.301717
12-01-2021,0.01639381,0.071903
13-01-2021,-0.00923302,0.193973
14-01-2021,0.00640116,0.273274
15-01-2021,-0.023673989,0.11636
18-01-2021,-0.006372347,0.233511
19-01-2021,0.020787011,-0.025424
20-01-2021,0.003214863,0.215051
21-01-2021,0.00035657,0.412902
22-01-2021,-0.01237573,-0.10725
25-01-2021,0.008446452,0.254313
26-01-2021,0.000536721,0.171477
27-01-2021,-0.00179019,0.15157
28-01-2021,-0.00502965,0.093654
29-01-2021,0.006283119,-0.240432
01-02-2021,0.008375706,0.185973
02-02-2021,0.019506813,0.15256
03-02-2021,0.017253706,0.361681
04-02-2021,0.006479136,0.305774
05-02-2021,0.008461719,0.309328
08-02-2021,0.020350994,0.257223
09-02-2021,0.008713578,0.518229
10-02-2021,0.006201064,0.346866
11-02-2021,-0.005382934,0.199176
12-02-2021,0.020879613,-0.147271
15-02-2021,0.0138394,0.243382
16-02-2021,0.000789578,0.648221
17-02-2021,0.015506615,0.453574
18-02-2021,-0.006392787,0.156437
19-02-2021,-0.016083601,0.056875
22-02-2021,0.036367644,0.203969
23-02-2021,0.00199066,0.300815
24-02-2021,0.025226019,0.506973
25-02-2021,-0.002389487,0.154653
26-02-2021,-0.011277467,0.293598
01-03-2021,-0.037594937,0.328386
02-03-2021,-0.015666117,0.337653
03-03-2021,0.021614788,-0.032772
04-03-2021,0.040828238,0.144083
05-03-2021,0.038505859,0.274358
08-03-2021,-0.016279429,0.299693
09-03-2021,-0.010607053,0.265163
10-03-2021,0.005612184,0.168191
11-03-2021,0.025159474,-0.096372
12-03-2021,-0.005905671,0.212657
15-03-2021,-0.004923978,0.291432
16-03-2021,-0.007139245,0.226949
17-03-2021,-0.00571891,0.040115
18-03-2021,-0.071938382,-0.08916
19-03-2021,0.019560908,-0.119055
