Date,Return
13-08-2018,-0.002750655
14-08-2018,-0.002067968
15-08-2018,-0.023740816
16-08-2018,0.00942408
17-08-2018,0.005584267
20-08-2018,0.005276324
21-08-2018,0.005799519
22-08-2018,0.02917241
23-08-2018,-0.000668852
24-08-2018,0.014480492
27-08-2018,0.005130578
28-08-2018,-0.003417459
29-08-2018,0.015546724
30-08-2018,0.0081338
31-08-2018,-0.004510608
03-09-2018,0.009384912
04-09-2018,0.000255885
05-09-2018,-0.01158016
06-09-2018,-0.010015041
07-09-2018,0.004304448
10-09-2018,0.00700392
11-09-2018,0.021607949
12-09-2018,0.008564284
13-09-2018,-0.019757482
14-09-2018,-0.001151853
17-09-2018,-0.000512361
18-09-2018,0.01247788
19-09-2018,0.004670841
20-09-2018,-0.008855213
21-09-2018,0.001269841
24-09-2018,0.03000225
25-09-2018,0.008217376
26-09-2018,-0.006494723
27-09-2018,0.004660869
28-09-2018,0.012162641
01-10-2018,0.026954524
02-10-2018,-0.002120392
03-10-2018,0.017418174
04-10-2018,-0.020015884
05-10-2018,-0.004978083
08-10-2018,-0.002974953
09-10-2018,0.012906461
10-10-2018,-0.022726899
11-10-2018,-0.034652993
12-10-2018,0.002115876
15-10-2018,0.004342169
16-10-2018,0.007768705
17-10-2018,-0.016846676
18-10-2018,-0.009539422
19-10-2018,0.006160829
22-10-2018,0.000626527
23-10-2018,-0.043393254
24-10-2018,-0.003538435
25-10-2018,0.009408145
26-10-2018,0.009449297
29-10-2018,-0.00361384
30-10-2018,-0.018662858
31-10-2018,-0.005813202
01-11-2018,-0.034783771
02-11-2018,-0.000823497
05-11-2018,0.004657543
06-11-2018,-0.014315454
07-11-2018,-0.000832178
08-11-2018,-0.01989976
09-11-2018,-0.006674739
12-11-2018,-0.00085531
13-11-2018,-0.068616038
14-11-2018,0.00987925
15-11-2018,0.00753356
16-11-2018,0.002099266
19-11-2018,0.00044927
20-11-2018,-0.065906927
21-11-2018,0.015078454
22-11-2018,-0.013959618
23-11-2018,-0.062623423
26-11-2018,0.028170877
27-11-2018,-0.00447428
28-11-2018,-0.0243771
29-11-2018,0.012683014
30-11-2018,-0.013534296
03-12-2018,0.049511773
04-12-2018,0.006302033
05-12-2018,-0.008411567
06-12-2018,-0.024668246
07-12-2018,0.026453526
10-12-2018,-0.027953152
11-12-2018,0.003827915
12-12-2018,-0.00083091
13-12-2018,0.021382394
14-12-2018,-0.019223462
17-12-2018,-0.011177029
18-12-2018,-0.057839542
19-12-2018,0.017269152
20-12-2018,-0.051808341
21-12-2018,-0.009799468
24-12-2018,-0.064266045
26-12-2018,0.076270991
27-12-2018,-0.043334174
28-12-2018,0.000766577
31-12-2018,0.030190972
02-01-2019,0.020422014
03-01-2019,0.018762953
04-01-2019,0.019644911
07-01-2019,0.004720701
08-01-2019,0.023956337
09-01-2019,0.045280705
10-01-2019,0.00389864
11-01-2019,-0.019646997
14-01-2019,-0.024944794
15-01-2019,0.027586803
16-01-2019,0.011151313
17-01-2019,-0.002285715
18-01-2019,0.024541109
21-01-2019,0.000637755
22-01-2019,-0.019962028
23-01-2019,-0.005870858
24-01-2019,-0.00081813
25-01-2019,0.008962824
28-01-2019,-0.028133796
29-01-2019,0.02292884
30-01-2019,0.005367176
31-01-2019,0.003885386
01-02-2019,0.013799962
04-02-2019,-0.003832034
05-02-2019,-0.008514792
06-02-2019,0.011390193
07-02-2019,-0.01705318
08-02-2019,0.007597224
11-02-2019,-0.009546226
12-02-2019,0.014685974
13-02-2019,0.018884954
14-02-2019,0.014979216
15-02-2019,0.025685558
18-02-2019,0.003766483
19-02-2019,-0.000752163
20-02-2019,0.009436152
21-02-2019,-0.000149087
22-02-2019,0.000745212
25-02-2019,-0.035793933
26-02-2019,0.006924703
27-02-2019,0.017933611
28-02-2019,-0.005437259
01-03-2019,-0.014645571
04-03-2019,0.009178587
05-03-2019,0.002889077
06-03-2019,0.001971938
07-03-2019,0.004686682
08-03-2019,-0.008482329
11-03-2019,0.012696664
12-03-2019,0.001350844
13-03-2019,0.013112988
14-03-2019,-0.004748488
15-03-2019,-0.001041744
18-03-2019,0.005642183
19-03-2019,0.001035886
20-03-2019,0.013077844
21-03-2019,-0.009386986
22-03-2019,-0.012306479
25-03-2019,0.002681766
26-03-2019,0.011244385
27-03-2019,-0.002061856
28-03-2019,-0.000147438
29-03-2019,0.008369478
01-04-2019,0.009024807
02-04-2019,0.005203076
03-04-2019,-0.000865301
04-04-2019,0.001297672
05-04-2019,0.01345376
08-04-2019,0.01074671
09-04-2019,-0.006915559
10-04-2019,0.015737293
11-04-2019,-0.01262643
12-04-2019,0.010113866
15-04-2019,-0.005184626
16-04-2019,0.007557769
17-04-2019,-0.001395284
18-04-2019,0.004875001
22-04-2019,0.028356122
23-04-2019,0.006327857
24-04-2019,0.000804937
25-04-2019,-0.002954609
26-04-2019,-0.030036388
29-04-2019,-0.001525765
30-04-2019,0.010494435
01-05-2019,-0.008552956
02-05-2019,-0.020010463
03-05-2019,0.00141243
06-05-2019,0.005489492
07-05-2019,-0.019274973
08-05-2019,0.006987551
09-05-2019,0.000284172
10-05-2019,0.003262183
13-05-2019,-0.00553782
14-05-2019,0.014278888
15-05-2019,0.007412103
16-05-2019,0.011773805
17-05-2019,-0.005661826
20-05-2019,-0.003329175
21-05-2019,0.002913634
22-05-2019,-0.016623977
23-05-2019,-0.046566972
24-05-2019,0.013631578
27-05-2019,0.020461809
28-05-2019,0
29-05-2019,-0.009458368
30-05-2019,-0.037856633
31-05-2019,-0.036240263
03-06-2019,-0.051056648
04-06-2019,0.011196872
05-06-2019,-0.021860577
06-06-2019,0.017007769
07-06-2019,0.02592975
10-06-2019,-0.01592644
11-06-2019,0
12-06-2019,-0.037956462
13-06-2019,0.022098525
14-06-2019,0.011352701
17-06-2019,-0.017405889
18-06-2019,0.01950013
19-06-2019,-0.005162967
20-06-2019,0.041662793
21-06-2019,0.01156974
24-06-2019,-0.005228368
25-06-2019,0.002925104
26-06-2019,0.021895355
27-06-2019,0.000901984
28-06-2019,0
01-07-2019,-0.022643624
