Date,Open,High,Low,Close,CO1 Comdty - Open Interest,SMAVG (15),,
25-06-2020,40.35,41.64,39.47,41.05,138989,270486,,0.018191259
26-06-2020,41.44,41.81,40.29,41.02,115378,252858,,-0.000731083
29-06-2020,40.56,41.95,40.04,41.71,65624,233188,,0.016681156
30-06-2020,41.33,41.62,40.9,41.15,59912,214167,,-0.013516981
01-07-2020,41.58,42.62,41.03,42.03,532441,227164,,0.021159722
02-07-2020,41.84,43.23,41.73,43.14,519619,240297,,0.026066992
03-07-2020,42.76,42.99,42.32,42.8,503218,253076,,-0.007912538
06-07-2020,42.79,43.71,42.74,43.1,496281,267003,,0.006984895
07-07-2020,43.13,43.45,42.46,43.08,478058,281086,,-0.000464145
08-07-2020,42.81,43.47,42.75,43.29,439560,293139,,0.004862809
09-07-2020,43.3,43.5,41.94,42.35,407695,304026,,-0.02195324
10-07-2020,42.36,43.42,41.32,43.24,392542,314910,,0.020797572
13-07-2020,43.12,43.34,42.14,42.72,371187,325822,,-0.012098798
14-07-2020,42.24,43.22,41.8,42.9,353151,336548,,0.004204631
15-07-2020,43.07,43.85,42.7,43.79,332516,347078,,0.020533655
16-07-2020,43.71,43.8,43.14,43.37,303458,358043,,-0.009637523
17-07-2020,43.4,43.45,42.64,43.14,292094,369824,,-0.005317317
20-07-2020,43.08,43.45,42.36,43.28,269972,383447,,0.003239994
21-07-2020,43.17,44.89,43.16,44.32,260434,396815,,0.023745408
22-07-2020,44.03,44.4,43.62,44.29,239859,377310,,-0.000677125
23-07-2020,44.1,44.77,43.13,43.31,188278,355220,,-0.022375363
24-07-2020,43.27,43.9,42.79,43.34,166135,332748,,0.000692441
27-07-2020,43.35,43.77,42.39,43.41,146986,309462,,0.001613833
28-07-2020,43.55,43.84,43,43.22,111692,285037,,-0.004386478
29-07-2020,43.31,43.95,43.2,43.75,91345,261823,,0.012188262
30-07-2020,43.73,43.8,41.38,42.94,59423,238605,,-0.01868782
31-07-2020,43.29,43.44,43.05,43.3,56575,216207,,0.008348843
03-08-2020,43.53,44.46,42.89,44.15,438839,220717,,0.019440292
04-08-2020,43.84,44.82,43.24,44.43,428947,225770,,0.00632199
05-08-2020,44.28,46.23,44.24,45.17,423240,231818,,0.016518233
06-08-2020,45.32,45.71,44.85,45.09,417796,239441,,-0.001772657
07-08-2020,45.15,45.3,44.27,44.4,398364,246526,,-0.015421023
10-08-2020,44.66,45.26,44.37,44.99,377978,253726,,0.013200773
11-08-2020,45.05,45.79,44.39,44.5,357381,260189,,-0.010951054
12-08-2020,44.62,45.63,44.49,45.43,339297,266818,,0.020683491
13-08-2020,45.32,45.58,44.82,44.96,326712,276047,,-0.010399474
14-08-2020,45.29,45.29,44.47,44.8,318024,286173,,-0.003565066
17-08-2020,44.86,45.41,44.53,45.37,301516,296475,,0.012642954
18-08-2020,45.27,45.55,44.76,45.46,280958,307760,,0.001981725
19-08-2020,45.17,45.48,44.81,45.37,259442,318966,,-0.001981725
20-08-2020,45.14,45.18,44.02,44.9,216825,329460,,-0.010413299
21-08-2020,45.03,45.08,43.59,44.35,180438,337717,,-0.012325086
24-08-2020,44.5,45.18,44.29,45.13,160252,319145,,0.017434505
25-08-2020,45.12,46.07,45.08,45.86,132087,299354,,0.016046064
26-08-2020,45.97,46.1,45.54,45.64,99530,277773,,-0.004808752
27-08-2020,45.7,45.87,44.56,45.09,80057,255257,,-0.012124033
28-08-2020,45.1,45.3,44.8,45.05,74185,233645,,-0.000887508
31-08-2020,45.8,46.53,45.21,45.28,487191,240926,,0.00509245
01-09-2020,45.6,46.22,45.47,45.58,481797,249221,,0.00660359
02-09-2020,45.83,46.05,44.2,44.43,483175,258813,,-0.025554107
03-09-2020,44.65,44.65,43.15,44.07,480371,269057,,-0.008135638
04-09-2020,43.76,44.54,42.3,42.66,465461,278886,,-0.032517566
07-09-2020,42.2,42.43,41.51,42.01,459632,289427,,-0.015354028
08-09-2020,42.08,42.23,39.31,39.78,421052,298766,,-0.054543412
09-09-2020,39.65,41.2,39.37,40.79,391948,307600,,0.02507268
10-09-2020,40.58,40.96,39.71,40.06,368023,317680,,-0.018058623
11-09-2020,39.96,40.34,39.38,39.83,361195,329730,,-0.005757933
14-09-2020,39.78,40.09,39.3,39.61,340735,341763,,-0.005538786
15-09-2020,39.7,40.82,39.39,40.53,306646,353400,,0.022960829
16-09-2020,40.72,42.44,40.59,42.22,286248,365848,,0.040851602
17-09-2020,42.32,43.5,41.5,43.3,261171,377922,,0.025258593
18-09-2020,43.22,43.8,42.53,43.15,244943,389306,,-0.003470217
21-09-2020,43.01,43.3,40.96,41.44,229531,372129,,-0.04043582
22-09-2020,41.79,42.2,41.21,41.72,209778,353994,,0.006734032
23-09-2020,41.67,42.62,41.21,41.77,179303,333736,,0.001197748
24-09-2020,41.36,42.02,41.27,41.94,157055,312181,,0.004061647
25-09-2020,41.85,42.33,41.52,41.92,134554,290121,,-0.000476985
28-09-2020,41.87,42.62,41.48,42.43,109306,266766,,0.012092619
29-09-2020,42.47,42.52,40.43,41.03,66468,243127,,-0.033552153
30-09-2020,40.66,40.98,40.3,40.95,64522,221299,,-0.001951696
01-10-2020,42.17,42.56,39.92,40.93,531522,232198,,-0.00048852
